Task_ID,Task_Type,Priority,Completion_Status,Dependency,Task_Importance,Estimated_Time,Interruptions,Workload,Task_Creation_Time,Deadline,Hours_To_Deadline,Urgency_Score
TASK_0199,Deployment,Medium,Completed,None,2,7.5,0.3,2.2,2025-06-01 18:00:00,2025-06-06 02:00:00,104.0,2.3
TASK_0200,Report Writing,Medium,Completed,None,6,7.3,0.6,3.1,2025-06-01 00:00:00,2025-06-03 03:00:00,51.0,3.8
TASK_0201,Lecture Notes Review,Low,Completed,None,1,6.6,2.9,9.4,2025-06-02 15:00:00,2025-06-07 03:00:00,108.0,3.1
TASK_0202,Lecture Notes Review,Low,Pending,None,3,7.2,4.6,8.7,2025-06-02 07:00:00,2025-06-05 09:00:00,74.0,4.1
TASK_0203,Meeting,Low,Pending,Internal,2,2.0,2.5,7.4,2025-06-01 21:00:00,2025-06-06 20:00:00,119.0,2.6
TASK_0204,Customer Support,High,Pending,External,3,2.6,4.2,5.3,2025-06-05 15:00:00,2025-06-08 00:00:00,57.0,3.2
TASK_0205,Deployment,Low,Pending,Internal,5,2.7,2.2,5.7,2025-06-04 20:00:00,2025-06-08 05:00:00,81.0,3.4
TASK_0206,Lecture Notes Review,Low,Pending,None,10,3.3,3.5,9.8,2025-06-03 17:00:00,2025-06-06 23:00:00,78.0,5.6
TASK_0207,Analysis,Medium,Completed,Internal,6,3.4,3.7,9.7,2025-06-02 15:00:00,2025-06-05 17:00:00,74.0,4.5
TASK_0208,Presentation,High,In Progress,Internal,9,4.6,0.9,2.9,2025-06-02 13:00:00,2025-06-03 21:00:00,32.0,4.7
TASK_0209,Review,High,Pending,External,10,1.7,1.8,8.3,2025-06-02 23:00:00,2025-06-06 04:00:00,77.0,5.0
TASK_0210,Training,High,Pending,External,4,5.7,3.2,2.8,2025-06-03 06:00:00,2025-06-07 06:00:00,96.0,3.3
TASK_0211,Analysis,Medium,Pending,None,7,1.8,0.4,2.9,2025-06-04 02:00:00,2025-06-07 06:00:00,76.0,3.3
TASK_0212,Training,Medium,Pending,Internal,6,2.8,1.8,7.1,2025-06-04 08:00:00,2025-06-08 15:00:00,103.0,3.7
TASK_0213,Presentation,Low,Pending,None,2,4.3,2.7,4.6,2025-06-03 06:00:00,2025-06-05 09:00:00,51.0,2.8
TASK_0214,Testing,High,Pending,None,10,6.5,5.0,9.4,2025-06-03 02:00:00,2025-06-06 07:00:00,77.0,6.2
TASK_0215,Presentation,High,Completed,None,8,6.0,2.4,1.8,2025-06-05 10:00:00,2025-06-09 00:00:00,86.0,4.3
TASK_0216,Customer Support,Medium,Completed,Internal,7,5.3,4.1,5.6,2025-06-03 11:00:00,2025-06-05 22:00:00,59.0,4.7
TASK_0217,Meeting,High,Pending,Internal,7,1.7,2.2,9.3,2025-06-01 07:00:00,2025-06-05 09:00:00,98.0,4.2
TASK_0218,Research,High,In Progress,Internal,8,4.6,4.0,9.1,2025-06-04 13:00:00,2025-06-05 09:00:00,20.0,5.9
TASK_0219,Testing,Medium,Completed,External,1,1.2,3.0,2.4,2025-06-03 19:00:00,2025-06-04 07:00:00,12.0,3.1
TASK_0220,Bug Fixing,High,Pending,None,1,3.3,4.4,4.3,2025-06-04 02:00:00,2025-06-08 18:00:00,112.0,2.5
TASK_0221,Research,High,Pending,None,8,3.6,2.1,6.6,2025-06-03 23:00:00,2025-06-08 03:00:00,100.0,4.4
TASK_0222,Meeting,Medium,Completed,None,4,0.8,3.0,2.4,2025-06-01 08:00:00,2025-06-02 21:00:00,37.0,3.0
TASK_0223,Report Writing,Medium,Pending,None,5,2.6,3.2,9.7,2025-06-04 17:00:00,2025-06-06 17:00:00,48.0,4.1
TASK_0224,Bug Fixing,Low,In Progress,None,8,7.7,2.1,9.2,2025-06-01 01:00:00,2025-06-04 20:00:00,91.0,5.2
TASK_0225,Documentation,Medium,In Progress,None,5,7.7,0.7,2.5,2025-06-04 07:00:00,2025-06-04 19:00:00,12.0,4.6
TASK_0226,Analysis,Low,Pending,None,10,3.1,0.5,2.1,2025-06-04 22:00:00,2025-06-05 08:00:00,10.0,5.8
TASK_0227,Testing,Medium,Pending,Internal,4,0.8,0.1,1.8,2025-06-03 21:00:00,2025-06-04 16:00:00,19.0,2.8
TASK_0228,Lecture Notes Review,High,Completed,None,6,1.8,4.4,9.2,2025-06-05 20:00:00,2025-06-06 18:00:00,22.0,4.9
TASK_0229,Lecture Notes Review,Medium,Pending,Internal,5,3.4,1.2,2.7,2025-06-04 12:00:00,2025-06-08 22:00:00,106.0,3.0
TASK_0230,Presentation,Medium,Pending,External,7,7.6,1.1,4.7,2025-06-04 17:00:00,2025-06-05 02:00:00,9.0,5.9
TASK_0231,Brainstorming,Medium,Completed,None,10,1.6,3.7,5.0,2025-06-03 10:00:00,2025-06-08 07:00:00,117.0,4.9
TASK_0232,Planning,Low,In Progress,None,7,6.2,1.6,6.4,2025-06-01 18:00:00,2025-06-06 16:00:00,118.0,4.3
TASK_0233,Meeting,High,Pending,None,4,1.3,2.5,1.6,2025-06-02 03:00:00,2025-06-02 17:00:00,14.0,3.6
TASK_0234,Lecture Notes Review,Low,Completed,None,5,7.9,0.8,3.0,2025-06-03 23:00:00,2025-06-07 06:00:00,79.0,3.5
TASK_0235,Exam Preparation,Low,Pending,External,3,3.4,4.8,9.4,2025-06-01 13:00:00,2025-06-04 05:00:00,64.0,3.8
TASK_0236,Development,Medium,Completed,None,4,6.3,4.3,9.2,2025-06-01 23:00:00,2025-06-03 20:00:00,45.0,4.4
TASK_0237,Development,High,Completed,None,4,3.1,4.3,8.0,2025-06-05 15:00:00,2025-06-06 07:00:00,16.0,4.6
TASK_0238,Customer Support,High,In Progress,None,3,5.2,2.0,1.2,2025-06-02 19:00:00,2025-06-03 10:00:00,15.0,3.6
TASK_0239,Customer Support,Low,In Progress,Internal,10,1.9,3.8,3.9,2025-06-05 04:00:00,2025-06-08 20:00:00,88.0,4.9
TASK_0240,Analysis,Medium,Completed,External,5,1.6,0.7,6.7,2025-06-03 07:00:00,2025-06-06 12:00:00,77.0,3.1
TASK_0241,Training,Medium,Pending,External,5,7.5,0.0,3.5,2025-06-04 17:00:00,2025-06-05 16:00:00,23.0,3.9
TASK_0242,Lecture Notes Review,Medium,Completed,None,7,7.4,0.1,9.2,2025-06-04 22:00:00,2025-06-07 03:00:00,53.0,4.7
TASK_0243,Lecture Notes Review,Medium,Pending,External,4,7.2,2.9,6.7,2025-06-05 23:00:00,2025-06-07 14:00:00,39.0,4.1
TASK_0244,Analysis,Medium,Pending,External,4,5.2,2.3,1.6,2025-06-03 02:00:00,2025-06-07 01:00:00,95.0,3.0
TASK_0245,Presentation,Medium,Pending,External,9,6.6,2.6,9.2,2025-06-02 07:00:00,2025-06-06 02:00:00,91.0,5.5
TASK_0246,Meeting,Medium,Completed,Internal,6,1.0,0.0,9.6,2025-06-03 01:00:00,2025-06-06 01:00:00,72.0,3.5
TASK_0247,Presentation,High,Completed,None,4,3.0,2.1,1.7,2025-06-02 16:00:00,2025-06-04 08:00:00,40.0,2.9
TASK_0248,Report Writing,Medium,Pending,Internal,2,2.9,3.6,5.8,2025-06-03 17:00:00,2025-06-04 08:00:00,15.0,3.7
TASK_0249,Brainstorming,Medium,Pending,Internal,6,5.3,2.2,3.7,2025-06-02 00:00:00,2025-06-06 06:00:00,102.0,3.8
TASK_0250,Research,Medium,Completed,None,2,3.2,3.7,4.5,2025-06-05 19:00:00,2025-06-07 14:00:00,43.0,2.9
TASK_0251,Review,Medium,In Progress,None,5,1.6,1.2,2.6,2025-06-05 11:00:00,2025-06-07 20:00:00,57.0,2.9
TASK_0252,Deployment,High,Pending,Internal,6,5.0,4.1,6.2,2025-06-03 12:00:00,2025-06-03 17:00:00,5.0,7.3
TASK_0253,Research,Medium,In Progress,None,4,6.6,2.9,9.6,2025-06-03 17:00:00,2025-06-05 22:00:00,53.0,4.2
TASK_0254,Presentation,Medium,In Progress,None,3,3.4,1.1,5.5,2025-06-02 17:00:00,2025-06-04 13:00:00,44.0,2.9
TASK_0255,Analysis,High,Completed,Internal,7,1.5,1.2,1.7,2025-06-03 16:00:00,2025-06-05 16:00:00,48.0,3.4
TASK_0256,Lecture Notes Review,Medium,Pending,None,2,2.0,3.1,6.6,2025-06-02 11:00:00,2025-06-06 21:00:00,106.0,2.6
TASK_0257,Analysis,Medium,In Progress,None,6,2.3,4.1,4.1,2025-06-04 03:00:00,2025-06-08 16:00:00,109.0,3.8
TASK_0258,Bug Fixing,High,In Progress,None,4,2.7,2.1,8.7,2025-06-01 08:00:00,2025-06-01 20:00:00,12.0,4.6
TASK_0259,Case Study,Medium,Completed,None,6,5.3,1.3,4.9,2025-06-02 11:00:00,2025-06-05 04:00:00,65.0,3.8
TASK_0260,Bug Fixing,Medium,In Progress,None,4,5.0,4.3,2.7,2025-06-05 08:00:00,2025-06-09 01:00:00,89.0,3.4
TASK_0261,Planning,High,In Progress,None,4,5.7,3.3,2.7,2025-06-04 19:00:00,2025-06-06 21:00:00,50.0,3.5
TASK_0262,Analysis,Low,Pending,External,4,3.2,2.2,7.9,2025-06-02 13:00:00,2025-06-02 21:00:00,8.0,5.2
TASK_0263,Lecture Notes Review,Low,Completed,None,9,6.7,2.4,3.4,2025-06-02 08:00:00,2025-06-05 15:00:00,79.0,4.9
TASK_0264,Customer Support,Medium,In Progress,External,7,2.0,1.0,7.9,2025-06-02 17:00:00,2025-06-02 21:00:00,4.0,7.4
TASK_0265,Review,High,Pending,External,3,4.0,3.1,2.9,2025-06-03 12:00:00,2025-06-05 11:00:00,47.0,3.0
TASK_0266,Meeting,Low,In Progress,None,3,6.5,1.8,3.9,2025-06-02 21:00:00,2025-06-03 22:00:00,25.0,3.5
TASK_0267,Review,Low,Pending,External,6,1.9,5.0,5.2,2025-06-04 13:00:00,2025-06-06 06:00:00,41.0,4.3
TASK_0268,Meeting,Low,Pending,None,6,1.3,2.4,9.5,2025-06-04 16:00:00,2025-06-09 14:00:00,118.0,3.9
TASK_0269,Case Study,Low,Completed,None,4,7.1,2.4,9.4,2025-06-03 12:00:00,2025-06-04 10:00:00,22.0,4.6
TASK_0270,Assignment,Low,In Progress,None,9,3.1,2.8,2.9,2025-06-01 17:00:00,2025-06-05 04:00:00,83.0,4.5
TASK_0271,Lecture Notes Review,Medium,Completed,Internal,4,5.6,4.6,4.2,2025-06-03 21:00:00,2025-06-05 07:00:00,34.0,4.0
TASK_0272,Presentation,Medium,Pending,None,9,0.7,4.0,2.3,2025-06-04 09:00:00,2025-06-09 07:00:00,118.0,4.3
TASK_0273,Research,Low,Completed,None,4,5.7,2.3,5.6,2025-06-05 19:00:00,2025-06-08 17:00:00,70.0,3.5
TASK_0274,Testing,Medium,Pending,External,2,2.9,3.6,5.1,2025-06-04 07:00:00,2025-06-08 01:00:00,90.0,2.7
TASK_0275,Analysis,Low,Pending,None,2,0.9,2.9,9.1,2025-06-01 14:00:00,2025-06-03 11:00:00,45.0,2.9
TASK_0276,Brainstorming,Medium,Completed,None,5,5.1,2.5,9.4,2025-06-02 23:00:00,2025-06-06 12:00:00,85.0,4.1
TASK_0277,Meeting,Medium,Completed,None,4,2.3,1.0,4.5,2025-06-03 23:00:00,2025-06-05 04:00:00,29.0,3.1
TASK_0278,Lecture Notes Review,High,In Progress,External,7,3.4,2.3,5.4,2025-06-01 12:00:00,2025-06-02 04:00:00,16.0,5.0
TASK_0279,Exam Preparation,Low,Pending,External,5,1.1,1.2,9.1,2025-06-05 22:00:00,2025-06-08 11:00:00,61.0,3.4
TASK_0280,Training,Medium,Completed,None,6,1.6,4.6,8.3,2025-06-02 18:00:00,2025-06-03 15:00:00,21.0,4.9
TASK_0281,Case Study,Low,In Progress,None,10,2.7,1.7,1.0,2025-06-03 11:00:00,2025-06-06 09:00:00,70.0,4.4
TASK_0282,Deployment,High,Completed,None,4,1.2,4.8,3.9,2025-06-03 08:00:00,2025-06-07 02:00:00,90.0,3.2
TASK_0283,Deployment,High,Completed,External,2,7.3,2.7,4.8,2025-06-03 22:00:00,2025-06-04 04:00:00,6.0,5.5
TASK_0284,Group Project,Medium,Pending,None,10,0.5,3.2,3.1,2025-06-01 16:00:00,2025-06-04 02:00:00,58.0,4.6
TASK_0285,Training,Low,Pending,None,9,4.1,2.7,2.8,2025-06-03 01:00:00,2025-06-06 21:00:00,92.0,4.5
TASK_0286,Research,High,In Progress,None,10,1.4,0.6,1.3,2025-06-02 07:00:00,2025-06-06 05:00:00,94.0,4.0
TASK_0287,Planning,Low,Pending,None,7,2.8,1.9,6.8,2025-06-01 21:00:00,2025-06-04 10:00:00,61.0,4.1
TASK_0288,Assignment,Low,Pending,None,4,7.4,0.5,3.4,2025-06-03 06:00:00,2025-06-07 21:00:00,111.0,3.1
TASK_0289,Meeting,Medium,Completed,None,3,1.7,3.1,1.5,2025-06-05 18:00:00,2025-06-08 12:00:00,66.0,2.5
TASK_0290,Design,Low,In Progress,None,10,7.7,2.2,3.1,2025-06-03 08:00:00,2025-06-07 06:00:00,94.0,5.2
TASK_0291,Meeting,High,Completed,External,3,2.0,3.9,8.2,2025-06-01 12:00:00,2025-06-03 19:00:00,55.0,3.4
TASK_0292,Development,High,In Progress,None,9,6.1,1.1,8.7,2025-06-02 22:00:00,2025-06-07 08:00:00,106.0,5.1
TASK_0293,Lecture Notes Review,Low,In Progress,Internal,5,4.6,0.8,5.3,2025-06-04 14:00:00,2025-06-08 10:00:00,92.0,3.3
TASK_0294,Training,Medium,Pending,None,3,7.1,2.0,4.7,2025-06-03 13:00:00,2025-06-04 16:00:00,27.0,3.6
TASK_0295,Review,High,Pending,External,5,4.7,4.6,9.8,2025-06-03 05:00:00,2025-06-06 08:00:00,75.0,4.5
TASK_0296,Analysis,High,Pending,External,2,4.5,3.6,2.8,2025-06-02 04:00:00,2025-06-02 16:00:00,12.0,3.9
TASK_0297,Brainstorming,Medium,Pending,None,4,2.0,2.1,2.9,2025-06-01 21:00:00,2025-06-06 14:00:00,113.0,2.7
TASK_0298,Brainstorming,High,Completed,None,10,1.7,2.6,3.6,2025-06-03 16:00:00,2025-06-05 08:00:00,40.0,4.9
TASK_0299,Exam Preparation,High,Pending,External,2,7.4,0.4,2.6,2025-06-02 04:00:00,2025-06-06 05:00:00,97.0,2.4
TASK_0300,Case Study,High,In Progress,None,2,3.0,4.9,4.4,2025-06-02 23:00:00,2025-06-06 13:00:00,86.0,2.9
TASK_0301,Assignment,Low,Pending,Internal,8,3.3,3.3,9.2,2025-06-01 04:00:00,2025-06-03 12:00:00,56.0,5.0
TASK_0302,Deployment,Medium,Pending,None,1,6.2,1.4,6.5,2025-06-02 10:00:00,2025-06-05 21:00:00,83.0,2.6
TASK_0303,Analysis,High,In Progress,Internal,7,3.0,2.9,4.7,2025-06-05 22:00:00,2025-06-07 01:00:00,27.0,4.5
TASK_0304,Customer Support,Low,Pending,None,5,7.6,0.5,9.4,2025-06-04 01:00:00,2025-06-08 16:00:00,111.0,4.0
TASK_0305,Development,High,Pending,External,8,6.0,4.8,1.4,2025-06-04 10:00:00,2025-06-05 10:00:00,24.0,5.3
TASK_0306,Brainstorming,Low,Pending,External,1,5.0,0.9,2.9,2025-06-05 04:00:00,2025-06-09 11:00:00,103.0,1.9
TASK_0307,Case Study,Low,Pending,External,7,7.1,3.2,6.1,2025-06-03 22:00:00,2025-06-05 17:00:00,43.0,4.9
TASK_0308,Assignment,Medium,Completed,None,5,0.9,1.2,6.5,2025-06-02 21:00:00,2025-06-07 07:00:00,106.0,3.0
TASK_0309,Analysis,Low,Pending,External,4,2.4,3.6,1.4,2025-06-02 10:00:00,2025-06-07 04:00:00,114.0,2.8
TASK_0310,Meeting,High,Pending,None,7,4.0,3.9,4.6,2025-06-02 20:00:00,2025-06-05 13:00:00,65.0,4.4
TASK_0311,Presentation,High,In Progress,External,10,2.2,3.4,6.8,2025-06-01 12:00:00,2025-06-04 13:00:00,73.0,5.2
TASK_0312,Assignment,High,Pending,None,2,6.1,3.1,7.3,2025-06-01 09:00:00,2025-06-04 09:00:00,72.0,3.3
TASK_0313,Meeting,Medium,Completed,Internal,1,7.4,4.5,6.7,2025-06-03 17:00:00,2025-06-04 10:00:00,17.0,4.1
TASK_0314,Analysis,Low,In Progress,None,1,3.7,0.4,3.9,2025-06-03 21:00:00,2025-06-08 13:00:00,112.0,1.8
TASK_0315,Bug Fixing,Medium,In Progress,Internal,1,3.1,1.7,1.8,2025-06-03 23:00:00,2025-06-05 20:00:00,45.0,1.9
TASK_0316,Documentation,Medium,In Progress,Internal,5,7.7,1.2,4.8,2025-06-05 03:00:00,2025-06-07 08:00:00,53.0,3.9
TASK_0317,Analysis,Medium,Pending,Internal,10,3.8,4.9,2.2,2025-06-02 00:00:00,2025-06-04 16:00:00,64.0,5.2
TASK_0318,Research,Low,In Progress,None,7,4.2,1.9,9.5,2025-06-02 19:00:00,2025-06-03 02:00:00,7.0,6.6
TASK_0319,Case Study,Medium,Pending,None,2,3.1,3.7,5.3,2025-06-03 11:00:00,2025-06-06 14:00:00,75.0,2.8
TASK_0320,Bug Fixing,Medium,Completed,Internal,10,7.3,3.4,3.9,2025-06-02 22:00:00,2025-06-06 17:00:00,91.0,5.5
TASK_0321,Design,High,Pending,None,8,4.8,1.1,7.9,2025-06-02 15:00:00,2025-06-05 21:00:00,78.0,4.6
TASK_0322,Planning,High,In Progress,None,4,6.2,1.2,5.5,2025-06-01 06:00:00,2025-06-02 02:00:00,20.0,4.0
TASK_0323,Documentation,Medium,In Progress,External,3,6.6,1.4,3.8,2025-06-02 21:00:00,2025-06-07 18:00:00,117.0,2.9
TASK_0324,Planning,Medium,Pending,External,10,3.1,2.1,8.3,2025-06-01 22:00:00,2025-06-05 14:00:00,88.0,5.2
TASK_0325,Brainstorming,High,Pending,None,8,3.8,1.2,8.8,2025-06-04 10:00:00,2025-06-06 22:00:00,60.0,4.6
TASK_0326,Research,Low,Completed,External,2,6.9,0.1,7.1,2025-06-02 21:00:00,2025-06-06 18:00:00,93.0,2.7
TASK_0327,Meeting,High,Completed,Internal,3,3.2,4.4,1.4,2025-06-04 13:00:00,2025-06-09 03:00:00,110.0,2.8
TASK_0328,Customer Support,High,Pending,None,3,6.5,4.8,6.1,2025-06-01 12:00:00,2025-06-03 15:00:00,51.0,3.9
TASK_0329,Report Writing,Medium,Completed,Internal,10,7.6,1.7,7.9,2025-06-01 20:00:00,2025-06-03 19:00:00,47.0,5.8
TASK_0330,Lecture Notes Review,Medium,Completed,None,1,5.2,1.7,2.2,2025-06-01 00:00:00,2025-06-03 00:00:00,48.0,2.2
TASK_0331,Testing,Low,Completed,None,6,6.1,0.0,3.1,2025-06-01 18:00:00,2025-06-05 16:00:00,94.0,3.4
TASK_0332,Documentation,Medium,Pending,None,2,6.5,3.4,8.9,2025-06-03 11:00:00,2025-06-06 22:00:00,83.0,3.5
TASK_0333,Analysis,Low,Completed,None,1,6.8,4.1,1.2,2025-06-02 08:00:00,2025-06-06 05:00:00,93.0,2.6
TASK_0334,Bug Fixing,High,Pending,Internal,2,3.5,0.7,7.8,2025-06-01 03:00:00,2025-06-02 15:00:00,36.0,2.8
TASK_0335,Group Project,Low,Completed,None,6,0.9,0.8,5.3,2025-06-05 09:00:00,2025-06-06 19:00:00,34.0,3.5
TASK_0336,Testing,Medium,In Progress,None,4,3.5,4.0,5.0,2025-06-01 02:00:00,2025-06-05 21:00:00,115.0,3.4
TASK_0337,Review,High,Pending,None,6,5.6,3.1,1.1,2025-06-04 18:00:00,2025-06-06 20:00:00,50.0,3.9
TASK_0338,Group Project,High,Completed,None,9,3.9,0.2,8.4,2025-06-03 03:00:00,2025-06-03 12:00:00,9.0,6.3
TASK_0339,Presentation,Low,Pending,None,10,6.1,3.1,4.2,2025-06-05 08:00:00,2025-06-09 23:00:00,111.0,5.3
TASK_0340,Meeting,Low,Completed,None,10,3.2,1.5,5.9,2025-06-05 02:00:00,2025-06-08 05:00:00,75.0,4.9
TASK_0341,Research,Low,Completed,None,8,5.3,1.8,7.1,2025-06-02 03:00:00,2025-06-05 05:00:00,74.0,4.7
TASK_0342,Case Study,Medium,In Progress,Internal,1,1.9,3.8,7.3,2025-06-03 21:00:00,2025-06-05 10:00:00,37.0,2.8
TASK_0343,Lecture Notes Review,Low,Pending,None,8,6.1,4.1,9.6,2025-06-03 21:00:00,2025-06-08 12:00:00,111.0,5.4
TASK_0344,Case Study,Medium,In Progress,None,9,4.6,2.0,5.8,2025-06-03 06:00:00,2025-06-05 14:00:00,56.0,4.9
TASK_0345,Exam Preparation,High,Pending,None,6,2.0,4.7,4.6,2025-06-03 08:00:00,2025-06-04 01:00:00,17.0,4.8
TASK_0346,Training,Low,Pending,External,10,2.7,2.0,9.6,2025-06-05 11:00:00,2025-06-06 06:00:00,19.0,6.0
TASK_0347,Design,High,Completed,None,5,6.1,3.9,6.8,2025-06-04 14:00:00,2025-06-06 12:00:00,46.0,4.4
TASK_0348,Planning,High,Pending,None,6,4.1,2.4,3.7,2025-06-05 00:00:00,2025-06-09 23:00:00,119.0,3.6
TASK_0349,Planning,Low,Pending,None,6,2.1,4.5,2.1,2025-06-01 15:00:00,2025-06-04 19:00:00,76.0,3.7
TASK_0350,Training,High,Completed,Internal,9,7.8,4.5,8.6,2025-06-01 23:00:00,2025-06-05 04:00:00,77.0,5.9
TASK_0351,Brainstorming,Medium,Pending,None,4,5.9,0.4,4.3,2025-06-03 20:00:00,2025-06-07 08:00:00,84.0,3.0
TASK_0352,Presentation,High,Pending,External,2,7.7,4.7,6.9,2025-06-02 16:00:00,2025-06-03 07:00:00,15.0,4.6
TASK_0353,Documentation,Medium,Completed,None,9,3.7,4.1,5.2,2025-06-05 09:00:00,2025-06-08 10:00:00,73.0,5.0
TASK_0354,Deployment,Medium,Pending,None,2,4.1,4.0,2.8,2025-06-04 04:00:00,2025-06-05 02:00:00,22.0,3.3
TASK_0355,Design,Medium,Completed,External,10,7.2,1.0,6.4,2025-06-02 22:00:00,2025-06-07 12:00:00,110.0,5.2
TASK_0356,Report Writing,High,Completed,None,9,4.4,4.0,1.5,2025-06-04 03:00:00,2025-06-05 23:00:00,44.0,4.9
TASK_0357,Development,High,Completed,Internal,2,5.8,4.3,4.7,2025-06-03 20:00:00,2025-06-06 04:00:00,56.0,3.3
TASK_0358,Meeting,Medium,In Progress,Internal,8,2.4,1.4,5.9,2025-06-05 04:00:00,2025-06-06 12:00:00,32.0,4.5
TASK_0359,Research,High,Pending,Internal,9,3.9,4.8,4.9,2025-06-02 06:00:00,2025-06-05 07:00:00,73.0,5.2
TASK_0360,Assignment,Low,Pending,None,10,1.4,0.2,7.7,2025-06-04 19:00:00,2025-06-07 09:00:00,62.0,4.7
TASK_0361,Exam Preparation,Low,Completed,External,9,2.0,0.7,8.5,2025-06-04 19:00:00,2025-06-08 15:00:00,92.0,4.5
TASK_0362,Exam Preparation,Low,Completed,None,10,0.5,2.7,7.9,2025-06-02 05:00:00,2025-06-05 00:00:00,67.0,5.0
TASK_0363,Development,Medium,In Progress,Internal,9,0.8,2.9,1.3,2025-06-01 17:00:00,2025-06-02 20:00:00,27.0,4.5
TASK_0364,Testing,Low,Pending,External,2,7.8,3.2,2.7,2025-06-02 19:00:00,2025-06-06 15:00:00,92.0,3.0
TASK_0365,Review,High,Pending,Internal,4,2.3,0.1,5.8,2025-06-02 02:00:00,2025-06-02 21:00:00,19.0,3.4
TASK_0366,Deployment,Low,Pending,None,7,5.5,4.8,9.4,2025-06-05 02:00:00,2025-06-07 09:00:00,55.0,5.3
TASK_0367,Group Project,Medium,Completed,None,2,6.8,0.2,8.5,2025-06-02 01:00:00,2025-06-05 12:00:00,83.0,2.9
TASK_0368,Presentation,Low,In Progress,None,1,4.6,0.7,8.6,2025-06-05 06:00:00,2025-06-05 15:00:00,9.0,4.1
TASK_0369,Design,High,Completed,External,3,1.6,0.1,3.7,2025-06-05 16:00:00,2025-06-07 08:00:00,40.0,2.3
TASK_0370,Analysis,High,Completed,None,4,6.0,2.8,4.9,2025-06-05 18:00:00,2025-06-09 10:00:00,88.0,3.5
TASK_0371,Research,Medium,Pending,None,8,5.0,4.7,5.2,2025-06-03 11:00:00,2025-06-03 18:00:00,7.0,7.1
TASK_0372,Presentation,High,In Progress,External,6,6.0,3.3,2.4,2025-06-01 17:00:00,2025-06-05 22:00:00,101.0,3.9
TASK_0373,Lecture Notes Review,Low,In Progress,None,2,6.3,4.1,1.3,2025-06-05 00:00:00,2025-06-08 23:00:00,95.0,2.8
TASK_0374,Group Project,High,In Progress,None,9,7.8,0.1,9.5,2025-06-04 16:00:00,2025-06-06 09:00:00,41.0,5.4
TASK_0375,Bug Fixing,Low,Completed,None,2,4.8,2.7,3.2,2025-06-03 07:00:00,2025-06-05 03:00:00,44.0,2.8
TASK_0376,Documentation,High,Completed,None,5,3.1,2.3,3.2,2025-06-02 06:00:00,2025-06-06 05:00:00,95.0,3.2
TASK_0377,Training,Low,Completed,None,4,5.4,2.5,1.8,2025-06-05 04:00:00,2025-06-08 16:00:00,84.0,3.1
TASK_0378,Brainstorming,Medium,Pending,None,7,1.0,0.4,9.4,2025-06-03 10:00:00,2025-06-04 03:00:00,17.0,4.7
TASK_0379,Training,High,Pending,None,8,7.2,3.4,6.2,2025-06-01 01:00:00,2025-06-04 03:00:00,74.0,5.1
TASK_0380,Development,Low,Completed,None,5,1.4,2.5,7.0,2025-06-05 00:00:00,2025-06-08 17:00:00,89.0,3.4
TASK_0381,Assignment,Low,Pending,External,10,3.0,3.8,9.2,2025-06-02 14:00:00,2025-06-04 20:00:00,54.0,5.7
TASK_0382,Customer Support,Low,Pending,None,5,6.6,2.4,4.1,2025-06-03 12:00:00,2025-06-06 08:00:00,68.0,3.8
TASK_0383,Exam Preparation,Medium,Pending,None,2,5.0,0.7,6.6,2025-06-05 10:00:00,2025-06-09 10:00:00,96.0,2.6
TASK_0384,Assignment,Medium,In Progress,Internal,8,3.5,3.2,1.3,2025-06-05 10:00:00,2025-06-07 17:00:00,55.0,4.2
TASK_0385,Meeting,Low,Pending,None,2,4.1,0.9,2.7,2025-06-03 14:00:00,2025-06-07 16:00:00,98.0,2.1
TASK_0386,Meeting,Medium,In Progress,None,10,6.9,4.4,8.5,2025-06-04 23:00:00,2025-06-06 08:00:00,33.0,6.4
TASK_0387,Design,Low,Completed,External,6,3.1,3.1,7.9,2025-06-01 17:00:00,2025-06-04 05:00:00,60.0,4.2
TASK_0388,Planning,High,Pending,Internal,8,7.0,0.8,4.2,2025-06-01 16:00:00,2025-06-05 02:00:00,82.0,4.4
TASK_0389,Lecture Notes Review,Low,Pending,External,6,1.2,4.8,4.4,2025-06-05 01:00:00,2025-06-08 14:00:00,85.0,3.8
TASK_0390,Research,Low,Pending,External,4,6.3,2.6,5.8,2025-06-02 14:00:00,2025-06-06 20:00:00,102.0,3.6
TASK_0391,Group Project,Low,Completed,Internal,4,6.9,0.4,1.0,2025-06-03 22:00:00,2025-06-08 19:00:00,117.0,2.7
TASK_0392,Assignment,Medium,Pending,None,6,1.9,3.1,3.2,2025-06-05 09:00:00,2025-06-06 18:00:00,33.0,3.8
TASK_0393,Meeting,High,Pending,Internal,4,3.7,1.3,2.9,2025-06-03 05:00:00,2025-06-07 10:00:00,101.0,2.7
TASK_0394,Lecture Notes Review,Medium,Pending,None,8,1.7,4.0,3.3,2025-06-05 20:00:00,2025-06-07 17:00:00,45.0,4.4
TASK_0395,Testing,Low,Completed,Internal,9,5.8,4.1,8.3,2025-06-05 02:00:00,2025-06-05 16:00:00,14.0,6.6
TASK_0396,Development,High,In Progress,None,1,4.5,4.9,3.5,2025-06-04 21:00:00,2025-06-06 03:00:00,30.0,3.1
